IPsec,,,,,,,
Virziens,Rādītājs,Vid.,Med.,St.nov.,Min.,Maks.,P95
VM3-VM1,Caurlaidspēja (Mbps),512.6,514.5,36.9901,421,563,552.65
,Aizture (ms),0.3082,0.2815,0.0662,0.255,0.459,0.4288
,CPU (%),44.531,41.37,20.3228,17.42,67.12,66.8185
,Paketes zudums (%),0,0,0,0,0,0
,Savienojuma laiks (s),0.0504,0.0495,0.0046,0.045,0.06,0.0582
,,,,,,,
Netmaker,,,,,,,
Virziens,Rādītājs,Vid.,Med.,St.nov.,Min.,Maks.,P95
VM3-VM1,Caurlaidspēja (Mbps),692.1,692.5,3.7253,685,697,696.55
,Aizture (ms),0.4935,0.488,0.0245,0.465,0.534,0.5313
,CPU (%),45.505,45.615,0.3957,44.82,46.02,45.993
,Paketes zudums (%),0,0,0,0,0,0
,Savienojuma laiks (s),19.2404,18.6895,1.375,18.538,23.057,21.3488
,,,,,,,
OpenVPN,,,,,,,
Virziens,Rādītājs,Vid.,Med.,St.nov.,Min.,Maks.,P95
VM3-VM1,Caurlaidspēja (Mbps),321.8,321.5,7.0048,311,332,331.1
,Aizture (ms),0.57,0.5765,0.027,0.526,0.605,0.6018
,CPU (%),46.122,45.065,4.3951,41.41,54.24,53.457
,Paketes zudums (%),0,0,0,0,0,0
,Savienojuma laiks (s),0.0499,0.0495,0.0055,0.042,0.059,0.0576
,,,,,,,
WireGuard,,,,,,,
Virziens,Rādītājs,Vid.,Med.,St.nov.,Min.,Maks.,P95
VM3-VM1,Caurlaidspēja (Mbps),1067.9,1066.5,5.646,1058,1077,1076.55
,Aizture (ms),0.5148,0.473,0.1338,0.453,0.892,0.7178
,CPU (%),95.26,95.17,0.9013,93.45,96.8,96.5435
,Paketes zudums (%),0,0,0,0,0,0
,Savienojuma laiks (s),0.0523,0.052,0.0017,0.05,0.056,0.0551
,,,,,,,
ZeroTier,,,,,,,
Virziens,Rādītājs,Vid.,Med.,St.nov.,Min.,Maks.,P95
VM3-VM1,Caurlaidspēja (Mbps),560.7,560.5,18.3911,534,589,585.85
,Aizture (ms),0.7067,0.6975,0.0513,0.638,0.792,0.7844
,CPU (%),58.92,59.15,4.1795,52.8,65.1,64.245
,Paketes zudums (%),0,0,0,0,0,0
,Savienojuma laiks (s),1.9061,2.065,0.2127,1.655,2.081,2.0778
