IPsec,,,,,,,
Virziens,Rādītājs,Vid.,Med.,St.nov.,Min.,Maks.,P95
VM1-VM2,Caurlaidspēja (Mbps),461.7,484,52.4935,371,523,518.95
,Aizture (ms),0.3429,0.341,0.0099,0.327,0.36,0.3568
,CPU (%),56.505,56.87,28.3517,13.61,99.51,90.4605
,Paketes zudums (%),0,0,0,0,0,0
,Savienojuma laiks (s),2.0799,2.078,0.006,2.074,2.092,2.0902
VM2-VM1,Caurlaidspēja (Mbps),433.4,431.5,49.2932,374,510,503.7
,Aizture (ms),0.3299,0.3245,0.0119,0.317,0.352,0.3497
,CPU (%),54.982,69.32,27.4833,15.7,80.77,79.6135
,Paketes zudums (%),0,0,0,0,0,0
,Savienojuma laiks (s),0.8464,0.049,1.0318,0.044,2.054,2.05
,,,,,,,
Netmaker,,,,,,,
Virziens,Rādītājs,Vid.,Med.,St.nov.,Min.,Maks.,P95
VM1-VM2,Caurlaidspēja (Mbps),521.8,522,5.2662,513,531,530.1
,Aizture (ms),0.5478,0.549,0.0286,0.501,0.588,0.584
,CPU (%),45.599,45.55,0.3349,45.12,46.21,46.129
,Paketes zudums (%),0,0,0,0,0,0
,Savienojuma laiks (s),19.1553,18.6445,1.3848,18.616,23.067,21.2989
VM2-VM1,Caurlaidspēja (Mbps),522,522.5,3.6515,515,527,526.55
,Aizture (ms),0.5689,0.5265,0.1019,0.491,0.777,0.7612
,CPU (%),58.27,58.295,0.3583,57.62,58.71,58.6875
,Paketes zudums (%),0,0,0,0,0,0
,Savienojuma laiks (s),19.3472,19.1475,1.3274,18.614,23.052,21.328
,,,,,,,
OpenVPN,,,,,,,
Virziens,Rādītājs,Vid.,Med.,St.nov.,Min.,Maks.,P95
VM1-VM2,Caurlaidspēja (Mbps),275.9,276,14.9403,258,295,294.55
,Aizture (ms),0.6231,0.6095,0.0944,0.524,0.868,0.7735
,CPU (%),50.395,49.19,3.2354,45.45,56.03,55.3415
,Paketes zudums (%),0,0,0,0,0,0
,Savienojuma laiks (s),111.7097,112.306,4.2278,106.297,116.323,116.3216
VM2-VM1,Caurlaidspēja (Mbps),280.7,278.5,16.4793,254,307,303.85
,Aizture (ms),0.603,0.597,0.044,0.546,0.708,0.6747
,CPU (%),53.049,49.75,7.7423,45.58,65.04,64.464
,Paketes zudums (%),0,0,0,0,0,0
,Savienojuma laiks (s),0.6545,1.052,0.5186,0.045,1.064,1.0613
,,,,,,,
WireGuard,,,,,,,
Virziens,Rādītājs,Vid.,Med.,St.nov.,Min.,Maks.,P95
VM1-VM2,Caurlaidspēja (Mbps),524.3,523.5,1.9465,522,528,527.55
,Aizture (ms),0.5703,0.5375,0.0865,0.498,0.755,0.7293
,CPU (%),58.123,58.16,0.2195,57.7,58.39,58.39
,Paketes zudums (%),0,0,0,0,0,0
,Savienojuma laiks (s),0.0612,0.061,0.002,0.059,0.065,0.0641
VM2-VM1,Caurlaidspēja (Mbps),522.6,523,2.7968,517,527,526.1
,Aizture (ms),0.5278,0.5235,0.0283,0.483,0.576,0.5674
,CPU (%),57.923,57.905,0.8093,56.6,59.25,59.061
,Paketes zudums (%),0,0,0,0,0,0
,Savienojuma laiks (s),0.0529,0.053,0.0019,0.049,0.055,0.055
,,,,,,,
ZeroTier,,,,,,,
Virziens,Rādītājs,Vid.,Med.,St.nov.,Min.,Maks.,P95
VM1-VM2,Caurlaidspēja (Mbps),555.4,556.5,20.4896,509,584,579.05
,Aizture (ms),0.6629,0.6625,0.0215,0.634,0.705,0.6964
,CPU (%),67.788,63.785,9.6851,58.2,83.14,82.0465
,Paketes zudums (%),0,0,0,0,0,0
,Savienojuma laiks (s),2.0335,1.587,1.4229,1.531,6.082,4.0894
VM2-VM1,Caurlaidspēja (Mbps),505.4,522.5,51.8249,407,567,559.35
,Aizture (ms),0.8367,0.821,0.0487,0.783,0.917,0.9134
,CPU (%),48.995,47.345,4.4311,45.67,59.9,56.318
,Paketes zudums (%),0,0,0,0,0,0
,Savienojuma laiks (s),8.1673,4.583,7.6405,1.607,21.111,19.0959
