IPsec — normālie tīkla apstākļi — neapstrādātie mērījumi,,,,,,,,,,
Risinājums,Scenārijs,Virziens,Iterācija,Caurlaidspēja (Mbps),Aizture vid. (ms),Aizture min. (ms),Aizture maks. (ms),CPU (%),Paketes zudums (%),Savienojuma laiks (s)
IPsec,Attālinātā piekļuve,VM3-VM1,1,504,0.267,0.222,0.833,67.12,0,0.049
IPsec,Attālinātā piekļuve,VM3-VM1,2,523,0.459,0.224,0.74,66.45,0,0.047
IPsec,Attālinātā piekļuve,VM3-VM1,3,540,0.28,0.194,0.481,65.38,0,0.056
IPsec,Attālinātā piekļuve,VM3-VM1,4,532,0.317,0.243,0.864,34.78,0,0.06
IPsec,Attālinātā piekļuve,VM3-VM1,5,516,0.293,0.202,0.464,40.71,0,0.047
IPsec,Attālinātā piekļuve,VM3-VM1,6,507,0.283,0.198,0.607,42.03,0,0.045
IPsec,Attālinātā piekļuve,VM3-VM1,7,507,0.392,0.224,7.48,19.05,0,0.05
IPsec,Attālinātā piekļuve,VM3-VM1,8,563,0.258,0.188,0.783,66.01,0,0.052
IPsec,Attālinātā piekļuve,VM3-VM1,9,513,0.255,0.183,0.414,26.36,0,0.05
IPsec,Attālinātā piekļuve,VM3-VM1,10,421,0.278,0.229,0.604,17.42,0,0.048
IPsec,LAN-LAN,VM1-VM2,1,480,0.339,0.285,0.55,35.42,0,2.075
IPsec,LAN-LAN,VM1-VM2,2,395,0.337,0.291,0.826,13.61,0,2.076
IPsec,LAN-LAN,VM1-VM2,3,498,0.346,0.29,0.749,79.4,0,2.074
IPsec,LAN-LAN,VM1-VM2,4,421,0.327,0.273,0.432,31.2,0,2.077
IPsec,LAN-LAN,VM1-VM2,5,514,0.336,0.288,0.85,34.59,0,2.088
IPsec,LAN-LAN,VM1-VM2,6,371,0.353,0.269,0.631,72.07,0,2.075
IPsec,LAN-LAN,VM1-VM2,7,492,0.352,0.287,0.95,78.79,0,2.092
IPsec,LAN-LAN,VM1-VM2,8,523,0.343,0.292,0.526,41.67,0,2.081
IPsec,LAN-LAN,VM1-VM2,9,435,0.336,0.286,0.475,78.79,0,2.082
IPsec,LAN-LAN,VM1-VM2,10,488,0.36,0.289,1.087,99.51,0,2.079
IPsec,LAN-LAN,VM2-VM1,1,430,0.324,0.277,0.752,76.65,0,2.045
IPsec,LAN-LAN,VM2-VM1,2,393,0.322,0.272,0.731,78.2,0,2.042
IPsec,LAN-LAN,VM2-VM1,3,474,0.334,0.279,0.719,23.81,0,2.054
IPsec,LAN-LAN,VM2-VM1,4,382,0.317,0.275,0.388,78.2,0,2.04
IPsec,LAN-LAN,VM2-VM1,5,387,0.324,0.263,0.772,15.7,0,0.049
IPsec,LAN-LAN,VM2-VM1,6,433,0.335,0.281,0.871,75.74,0,0.044
IPsec,LAN-LAN,VM2-VM1,7,455,0.319,0.26,0.389,80.77,0,0.047
IPsec,LAN-LAN,VM2-VM1,8,374,0.325,0.265,0.831,18.46,0,0.046
IPsec,LAN-LAN,VM2-VM1,9,510,0.352,0.283,1.047,62.9,0,0.049
IPsec,LAN-LAN,VM2-VM1,10,496,0.347,0.292,0.544,39.39,0,0.048
IPsec,Mākoņintegrācija,VM1-VM4,1,545,0.285,0.243,0.406,64.52,0,2.073
IPsec,Mākoņintegrācija,VM1-VM4,2,437,0.281,0.243,0.344,36.96,0,2.084
IPsec,Mākoņintegrācija,VM1-VM4,3,542,0.29,0.222,0.682,49.36,0,2.078
IPsec,Mākoņintegrācija,VM1-VM4,4,568,0.294,0.251,0.849,47.33,0,2.081
IPsec,Mākoņintegrācija,VM1-VM4,5,569,0.292,0.242,0.798,64.34,0,2.07
IPsec,Mākoņintegrācija,VM1-VM4,6,447,0.299,0.236,0.882,37.41,0,2.073
IPsec,Mākoņintegrācija,VM1-VM4,7,548,0.312,0.247,0.416,58.02,0,2.085
IPsec,Mākoņintegrācija,VM1-VM4,8,566,0.298,0.243,0.638,61.36,0,2.078
IPsec,Mākoņintegrācija,VM1-VM4,9,428,0.3,0.248,0.669,28.37,0,2.075
IPsec,Mākoņintegrācija,VM1-VM4,10,555,0.516,0.253,1.177,64.75,0,2.072
