Netmaker — normālie tīkla apstākļi — neapstrādātie mērījumi,,,,,,,,,,
Risinājums,Scenārijs,Virziens,Iterācija,Caurlaidspēja (Mbps),Aizture vid. (ms),Aizture min. (ms),Aizture maks. (ms),CPU (%),Paketes zudums (%),Savienojuma laiks (s)
Netmaker,Attālinātā piekļuve,VM3-VM1,1,690,0.469,0.291,2.518,45.06,0,23.057
Netmaker,Attālinātā piekļuve,VM3-VM1,2,685,0.502,0.333,1.266,44.82,0,18.727
Netmaker,Attālinātā piekļuve,VM3-VM1,3,695,0.528,0.319,3.453,45.96,0,18.538
Netmaker,Attālinātā piekļuve,VM3-VM1,4,696,0.465,0.341,0.715,45.71,0,19.261
Netmaker,Attālinātā piekļuve,VM3-VM1,5,693,0.485,0.314,0.785,45.66,0,18.652
Netmaker,Attālinātā piekļuve,VM3-VM1,6,688,0.478,0.306,2.104,45.38,0,18.618
Netmaker,Attālinātā piekļuve,VM3-VM1,7,692,0.511,0.337,1.438,45.14,0,18.543
Netmaker,Attālinātā piekļuve,VM3-VM1,8,697,0.534,0.322,3.127,46.02,0,19.256
Netmaker,Attālinātā piekļuve,VM3-VM1,9,691,0.472,0.346,0.801,45.57,0,19.197
Netmaker,Attālinātā piekļuve,VM3-VM1,10,694,0.491,0.318,0.842,45.73,0,18.555
Netmaker,LAN-LAN,VM1-VM2,1,513,0.579,0.409,1.042,46.21,0,23.067
Netmaker,LAN-LAN,VM1-VM2,2,519,0.517,0.402,0.757,45.71,0,18.9
Netmaker,LAN-LAN,VM1-VM2,3,522,0.534,0.407,0.894,45.46,0,18.633
Netmaker,LAN-LAN,VM1-VM2,4,522,0.501,0.375,0.959,45.71,0,19.138
Netmaker,LAN-LAN,VM1-VM2,5,522,0.557,0.39,1.527,45.46,0,18.643
Netmaker,LAN-LAN,VM1-VM2,6,523,0.588,0.392,2.367,45.12,0,18.616
Netmaker,LAN-LAN,VM1-VM2,7,531,0.541,0.398,1.118,45.38,0,18.636
Netmaker,LAN-LAN,VM1-VM2,8,529,0.563,0.404,1.304,45.64,0,18.617
Netmaker,LAN-LAN,VM1-VM2,9,520,0.526,0.387,1.304,46.03,0,18.646
Netmaker,LAN-LAN,VM1-VM2,10,517,0.572,0.411,1.876,45.27,0,18.657
Netmaker,LAN-LAN,VM2-VM1,1,523,0.526,0.387,2.8,58.61,0,23.052
Netmaker,LAN-LAN,VM2-VM1,2,526,0.491,0.405,0.704,57.62,0,19.221
Netmaker,LAN-LAN,VM2-VM1,3,524,0.527,0.377,0.955,58.25,0,19.149
Netmaker,LAN-LAN,VM2-VM1,4,522,0.522,0.378,1.549,58.02,0,18.641
Netmaker,LAN-LAN,VM2-VM1,5,515,0.777,0.371,18.958,58.71,0,19.146
Netmaker,LAN-LAN,VM2-VM1,6,521,0.538,0.382,2.146,58.34,0,19.153
Netmaker,LAN-LAN,VM2-VM1,7,527,0.503,0.399,0.812,57.89,0,19.164
Netmaker,LAN-LAN,VM2-VM1,8,518,0.519,0.374,1.127,58.47,0,18.658
Netmaker,LAN-LAN,VM2-VM1,9,524,0.544,0.381,1.734,58.13,0,18.614
Netmaker,LAN-LAN,VM2-VM1,10,520,0.742,0.369,16.483,58.66,0,18.674
Netmaker,Mākoņintegrācija,VM1-VM4,1,1035,0.506,0.324,0.857,75.14,0,23.066
Netmaker,Mākoņintegrācija,VM1-VM4,2,1033,0.958,0.307,1.842,74.22,0,18.65
Netmaker,Mākoņintegrācija,VM1-VM4,3,1034,0.497,0.342,1.351,75.14,0,18.633
Netmaker,Mākoņintegrācija,VM1-VM4,4,1013,0.568,0.329,1.292,73.17,0,19.145
Netmaker,Mākoņintegrācija,VM1-VM4,5,1017,0.557,0.343,0.959,75.14,0,18.621
Netmaker,Mākoņintegrācija,VM1-VM4,6,1031,0.521,0.318,0.914,74.83,0,19.123
Netmaker,Mākoņintegrācija,VM1-VM4,7,1028,0.884,0.311,1.736,73.96,0,19.131
Netmaker,Mākoņintegrācija,VM1-VM4,8,1036,0.503,0.347,1.284,75.27,0,19.121
Netmaker,Mākoņintegrācija,VM1-VM4,9,1015,0.574,0.333,1.367,74.11,0,18.655
Netmaker,Mākoņintegrācija,VM1-VM4,10,1022,0.548,0.339,1.021,75.02,0,19.152
