SAW aprēķins — Attālinātā piekļuve scenārijs,,,,,,,
,,,,,,,
1. Kvantitatīvie kritēriji — izmērītās vidējās vērtības,,,,,,,
Kritērijs,Svars,Optimums,IPsec,Netmaker,OpenVPN,WireGuard,ZeroTier
Caurlaidspēja (Mbps),0.18,Max,512.6,692.1,321.8,1067.9,560.7
Aizture (ms),0.18,Min,0.3082,0.4935,0.57,0.5148,0.7067
CPU (%),0.05,Min,44.531,45.505,46.122,95.26,58.92
Paketes zudums (%),0.04,Min,0,0,0,0,0
Savienojuma laiks (s),0.05,Min,0.0504,19.2404,0.0499,0.0523,1.9061
,,,,,,,
2. Kvantitatīvie kritēriji — normalizētās vērtības [0;1],,,,,,,
Kritērijs,Svars,Optimums,IPsec,Netmaker,OpenVPN,WireGuard,ZeroTier
Caurlaidspēja (Mbps),0.18,Max,0.2557,0.4963,0,1,0.3202
Aizture (ms),0.18,Min,1,0.535,0.343,0.4816,0
CPU (%),0.05,Min,1,0.9808,0.9686,0,0.7164
Paketes zudums (%),0.04,Min,0,0,0,0,0
Savienojuma laiks (s),0.05,Min,1,0,1,0.9999,0.9033
,,,,,,,
3. Kvalitatīvie kritēriji — piešķirtie punkti (1–5),,,,,,,
Kritērijs,Svars,Optimums,IPsec,Netmaker,OpenVPN,WireGuard,ZeroTier
Konfigurācijas sarežģītība,0.14,Max,1,3,2,2,4
Pārvaldāmība un mērogojamība,0.16,Max,1,4,2,1,4
Drošības arhitektūra,0.16,Max,3,4,3,2,3
Izmaksas un ārējā atkarība,0.04,Max,5,4,5,5,2
,,,,,,,
4. Kvalitatīvie kritēriji — normalizētās vērtības [0;1]  (Punkti − 1) / 4,,,,,,,
Kritērijs,Svars,Optimums,IPsec,Netmaker,OpenVPN,WireGuard,ZeroTier
Konfigurācijas sarežģītība,0.14,Max,0,0.5,0.25,0.25,0.75
Pārvaldāmība un mērogojamība,0.16,Max,0,0.75,0.25,0,0.75
Drošības arhitektūra,0.16,Max,0.5,0.75,0.5,0.25,0.5
Izmaksas un ārējā atkarība,0.04,Max,1,0.75,1,1,0.25
,,,,,,,
5. SAW score = Σ (svars × normalizētā vērtība),,,,,,,
,,,IPsec,Netmaker,OpenVPN,WireGuard,ZeroTier
SAW score,,,0.446,0.5747,0.3552,0.4317,0.4536
