SAW aprēķins — LAN-LAN scenārijs,,,,,,,
,,,,,,,
1. Kvantitatīvie kritēriji — izmērītās vidējās vērtības,,,,,,,
Kritērijs,Svars,Optimums,IPsec,Netmaker,OpenVPN,WireGuard,ZeroTier
Caurlaidspēja (Mbps),0.18,Max,447.55,521.9,278.3,523.45,530.4
Aizture (ms),0.18,Min,0.3364,0.5583,0.613,0.5491,0.7498
CPU (%),0.05,Min,55.7435,51.9345,51.722,58.023,58.3915
Paketes zudums (%),0.04,Min,0,0,0,0,0
Savienojuma laiks (s),0.05,Min,1.4631,19.2512,56.1821,0.0571,5.1004
,,,,,,,
2. Kvantitatīvie kritēriji — normalizētās vērtības [0;1],,,,,,,
Kritērijs,Svars,Optimums,IPsec,Netmaker,OpenVPN,WireGuard,ZeroTier
Caurlaidspēja (Mbps),0.18,Max,0.6714,0.9663,0,0.9724,1
Aizture (ms),0.18,Min,1,0.4632,0.3309,0.4855,0
CPU (%),0.05,Min,0.397,0.9681,1,0.0553,0
Paketes zudums (%),0.04,Min,0,0,0,0,0
Savienojuma laiks (s),0.05,Min,0.9749,0.658,0,1,0.9101
,,,,,,,
3. Kvalitatīvie kritēriji — piešķirtie punkti (1–5),,,,,,,
Kritērijs,Svars,Optimums,IPsec,Netmaker,OpenVPN,WireGuard,ZeroTier
Konfigurācijas sarežģītība,0.14,Max,1,3,2,2,4
Pārvaldāmība un mērogojamība,0.16,Max,1,4,2,1,4
Drošības arhitektūra,0.16,Max,3,4,3,2,3
Izmaksas un ārējā atkarība,0.04,Max,5,4,5,5,2
,,,,,,,
4. Kvalitatīvie kritēriji — normalizētās vērtības [0;1]  (Punkti − 1) / 4,,,,,,,
Kritērijs,Svars,Optimums,IPsec,Netmaker,OpenVPN,WireGuard,ZeroTier
Konfigurācijas sarežģītība,0.14,Max,0,0.5,0.25,0.25,0.75
Pārvaldāmība un mērogojamība,0.16,Max,0,0.75,0.25,0,0.75
Drošības arhitektūra,0.16,Max,0.5,0.75,0.5,0.25,0.5
Izmaksas un ārējā atkarība,0.04,Max,1,0.75,1,1,0.25
,,,,,,,
5. SAW score = Σ (svars × normalizētā vērtība),,,,,,,
,,,IPsec,Netmaker,OpenVPN,WireGuard,ZeroTier
SAW score,,,0.4894,0.6786,0.3046,0.4302,0.5405
